year,city,country,avg_temp,5 years MA,10 years MA
1743,Berlin,Germany,6.33,,
1744,Berlin,Germany,10.36,,
1745,Berlin,Germany,1.43,,
1746,Berlin,Germany,,,
1747,Berlin,Germany,,6.04,
1748,Berlin,Germany,,5.90,
1749,Berlin,Germany,,1.43,
1750,Berlin,Germany,9.83,9.83,
1751,Berlin,Germany,9.75,9.79,
1752,Berlin,Germany,4.84,8.14,7.09
1753,Berlin,Germany,8.72,8.29,7.49
1754,Berlin,Germany,8.49,8.33,7.18
1755,Berlin,Germany,8.26,8.01,8.32
1756,Berlin,Germany,9.62,7.99,8.50
1757,Berlin,Germany,9.15,8.85,8.58
1758,Berlin,Germany,8.25,8.75,8.55
1759,Berlin,Germany,9.04,8.86,8.60
1760,Berlin,Germany,8.99,9.01,8.51
1761,Berlin,Germany,9.47,8.98,8.48
1762,Berlin,Germany,8.53,8.86,8.85
1763,Berlin,Germany,8.62,8.93,8.84
1764,Berlin,Germany,8.91,8.90,8.88
1765,Berlin,Germany,8.54,8.81,8.91
1766,Berlin,Germany,8.87,8.69,8.84
1767,Berlin,Germany,8.14,8.62,8.74
1768,Berlin,Germany,8.03,8.50,8.71
1769,Berlin,Germany,8.46,8.41,8.66
1770,Berlin,Germany,8.50,8.40,8.61
1771,Berlin,Germany,7.45,8.12,8.41
1772,Berlin,Germany,9.13,8.31,8.47
1773,Berlin,Germany,9.52,8.61,8.56
1774,Berlin,Germany,8.46,8.61,8.51
1775,Berlin,Germany,10.10,8.93,8.67
1776,Berlin,Germany,8.36,9.11,8.62
1777,Berlin,Germany,8.29,8.95,8.63
1778,Berlin,Germany,9.43,8.93,8.77
1779,Berlin,Germany,10.47,9.33,8.97
1780,Berlin,Germany,8.78,9.07,9.00
1781,Berlin,Germany,9.98,9.39,9.25
1782,Berlin,Germany,8.61,9.45,9.20
1783,Berlin,Germany,9.76,9.52,9.22
1784,Berlin,Germany,7.67,8.96,9.15
1785,Berlin,Germany,7.42,8.69,8.88
1786,Berlin,Germany,7.68,8.23,8.81
1787,Berlin,Germany,9.27,8.36,8.91
